"Month","VHT","ToD","Agents","CallsOffered","CallsAbandoned","CallsHandled","ASA","Avehandletime"
"Oct-Nov","Off","morning","19","113","0","113","0.00","4.9"
"Oct-Nov","On","afternoo","29","146","0","146","0.00","5.8"
"Oct-Nov","On","evening","5","37","0","37","0.00","4.2"
"Oct-Nov","Off","morning","26","163","0","163","0.13","5.0"
"Oct-Nov","Off","afternoo","21","118","0","118","0.00","5.1"
"Oct-Nov","Off","evening","4","26","0","26","0.00","5.2"
"Oct-Nov","On","morning","9","51","0","51","0.00","5.3"
"Oct-Nov","Off","morning","34","191","0","191","0.22","5.2"
"Oct-Nov","Off","afternoo","31","185","3","182","0.33","5.1"
"Oct-Nov","Off","evening","12","73","0","73","0.00","4.6"
"Oct-Nov","Off","morning","28","150","0","150","0.50","5.5"
"Oct-Nov","On","afternoo","30","176","1","175","0.10","5.0"
"Oct-Nov","On","evening","12","65","1","64","0.00","5.7"
"Oct-Nov","On","morning","32","188","1","187","0.40","5.2"
"Oct-Nov","Off","afternoo","32","173","4","169","0.47","5.8"
"Oct-Nov","On","evening","11","60","0","60","0.00","5.4"
"Oct-Nov","Off","morning","11","67","4","63","0.88","4.7"
"Oct-Nov","Off","afternoo","7","47","0","47","0.83","4.9"
"Oct-Nov","Off","morning","19","217","73","144","8.75","5.8"
"Oct-Nov","Off","afternoo","34","226","27","199","4.27","5.6"
"Oct-Nov","Off","evening","9","98","22","76","7.92","5.4"
"Oct-Nov","On","morning","39","233","13","220","2.52","5.3"
"Oct-Nov","On","afternoo","39","187","2","185","0.32","6.3"
"Oct-Nov","On","evening","9","50","1","49","0.02","5.7"
"Oct-Nov","On","morning","33","202","7","195","2.40","5.0"
"Oct-Nov","Off","afternoo","29","189","24","165","4.35","5.7"
"Oct-Nov","Off","evening","12","66","2","64","1.77","5.5"
"Oct-Nov","On","morning","42","220","2","218","0.88","5.8"
"Oct-Nov","Off","afternoo","41","230","0","230","0.17","5.4"
"Oct-Nov","Off","evening","12","75","5","70","2.62","5.1"
"Oct-Nov","Off","morning","47","236","5","231","1.00","6.0"
"Oct-Nov","On","afternoo","29","172","0","172","0.20","5.0"
"Oct-Nov","Off","evening","11","67","1","66","0.17","5.0"
"Oct-Nov","On","morning","14","82","0","82","0.27","4.8"
"Oct-Nov","Off","afternoo","6","37","0","37","0.00","3.9"
"Oct-Nov","Off","morning","34","215","0","215","0.28","4.8"
"Oct-Nov","On","afternoo","32","170","0","170","0.23","5.5"
"Oct-Nov","On","evening","7","51","0","51","0.00","4.4"
"Oct-Nov","On","morning","29","167","0","167","0.10","5.2"
"Oct-Nov","On","afternoo","30","162","0","162","0.00","5.7"
"Oct-Nov","Off","evening","8","51","0","51","0.00","4.5"
"Oct-Nov","Off","morning","24","162","0","162","0.00","4.6"
"Oct-Nov","On","afternoo","25","155","0","155","0.00","4.9"
"Oct-Nov","Off","evening","8","42","0","42","0.00","5.2"
"Oct-Nov","On","morning","26","170","0","170","0.00","4.7"
"Oct-Nov","On","afternoo","22","145","0","145","0.00","4.8"
"Oct-Nov","On","evening","5","30","0","30","0.00","5.7"
"Oct-Nov","Off","morning","12","81","1","80","0.78","4.5"
"Oct-Nov","On","afternoo","10","55","1","54","1.10","5.5"
"Oct-Nov","On","morning","19","182","21","161","5.83","4.8"
"Oct-Nov","Off","afternoo","42","222","9","213","1.30","6.0"
"Oct-Nov","On","evening","13","63","1","62","0.82","6.0"
"Oct-Nov","Off","morning","25","212","26","186","5.25","5.2"
"Oct-Nov","On","afternoo","40","216","2","214","0.13","5.6"
"Oct-Nov","Off","evening","8","55","0","55","0.00","4.8"
"Oct-Nov","On","morning","43","220","1","219","0.63","5.8"
"Oct-Nov","Off","afternoo","38","216","1","215","0.02","5.3"
"Oct-Nov","On","evening","11","48","0","48","0.00","7.3"
"Oct-Nov","Off","morning","37","224","3","221","0.72","5.0"
"Oct-Nov","On","afternoo","28","168","0","168","0.00","4.9"
"Oct-Nov","Off","evening","11","66","0","66","0.00","5.4"
"Oct-Nov","Off","morning","36","211","0","211","0.00","5.0"
"Oct-Nov","Off","afternoo","29","187","0","187","0.00","4.8"
"Oct-Nov","Off","evening","7","44","0","44","0.00","5.3"
"Oct-Nov","Off","morning","9","60","0","60","0.10","4.7"
"Oct-Nov","On","afternoo","5","45","0","45","0.00","4.1"
"Oct-Nov","Off","morning","45","267","6","261","1.08","5.1"
"Oct-Nov","Off","afternoo","31","193","0","193","0.00","4.8"
"Oct-Nov","On","evening","6","39","0","39","0.13","5.1"
"Oct-Nov","Off","morning","41","223","1","222","0.03","5.5"
"Oct-Nov","Off","afternoo","30","166","0","166","0.00","5.5"
"Oct-Nov","On","evening","12","65","0","65","0.40","5.3"
"Oct-Nov","On","morning","29","185","0","185","0.00","4.7"
"Oct-Nov","On","afternoo","31","182","0","182","0.00","5.3"
"Oct-Nov","On","evening","7","53","1","52","0.98","4.5"
"Oct-Nov","Off","morning","32","212","0","212","0.00","4.6"
"Oct-Nov","Off","afternoo","30","176","0","176","0.00","5.1"
"Oct-Nov","Off","evening","8","66","1","65","0.13","3.8"
"Oct-Nov","Off","morning","28","189","0","189","0.00","4.5"
"Oct-Nov","Off","afternoo","31","151","0","151","0.00","6.0"
"Oct-Nov","On","evening","6","34","0","34","0.00","4.2"
"Oct-Nov","Off","morning","10","73","8","65","2.85","4.4"
"Oct-Nov","Off","afternoo","3","28","0","28","0.00","4.0"
"Oct-Nov","Off","morning","49","262","10","252","1.88","5.7"
"Oct-Nov","On","afternoo","41","219","0","219","0.00","5.6"
"Oct-Nov","On","evening","11","74","1","73","0.38","4.5"
"Oct-Nov","Off","morning","36","192","1","191","0.28","5.6"
"Oct-Nov","Off","afternoo","35","188","1","187","0.12","5.8"
"Oct-Nov","Off","evening","13","63","3","60","0.65","6.0"
"Oct-Nov","Off","morning","32","204","0","204","0.05","4.8"
"Oct-Nov","Off","afternoo","29","170","0","170","0.02","5.3"
"Oct-Nov","Off","evening","9","53","1","52","0.17","4.8"
"Oct-Nov","Off","morning","23","138","0","138","0.00","4.9"
"Oct-Nov","Off","afternoo","28","152","0","152","0.00","5.3"
"Oct-Nov","Off","evening","9","52","1","51","0.10","5.5"
"Oct-Nov","Off","morning","33","182","0","182","0.00","5.3"
"Oct-Nov","Off","afternoo","29","165","0","165","0.00","5.4"
"Oct-Nov","Off","evening","6","27","0","27","0.13","5.9"
"Oct-Nov","Off","morning","8","62","5","57","0.78","3.9"
"Oct-Nov","Off","afternoo","4","32","0","32","0.08","4.5"
"Oct-Nov","Off","morning","35","223","4","219","0.32","4.9"
"Oct-Nov","Off","afternoo","31","164","0","164","0.00","5.6"
"Oct-Nov","On","evening","9","57","0","57","0.10","4.7"
"Oct-Nov","Off","morning","22","135","0","135","0.00","4.9"
"Oct-Nov","On","afternoo","27","164","0","164","0.07","4.8"
"Oct-Nov","Off","evening","6","31","0","31","0.00","4.9"
"Oct-Nov","Off","morning","26","168","0","168","0.00","4.7"
"Oct-Nov","On","afternoo","17","110","0","110","0.00","4.7"
"Oct-Nov","Off","evening","4","27","0","27","0.00","3.8"
"Oct-Nov","Off","morning","9","49","0","49","0.00","5.9"
"Oct-Nov","Off","afternoo","11","65","0","65","0.05","4.9"
"Oct-Nov","On","evening","2","20","0","20","0.00","3.9"
"Oct-Nov","On","morning","6","47","9","38","6.88","5.4"
"Oct-Nov","Off","afternoo","5","37","1","36","1.03","3.6"
"Oct-Nov","On","morning","26","252","35","217","5.58","4.8"
"Oct-Nov","Off","afternoo","38","239","12","227","1.65","5.1"
"Oct-Nov","Off","evening","11","83","10","73","3.35","4.7"
"Oct-Nov","Off","morning","39","240","7","233","0.92","5.1"
"Oct-Nov","Off","afternoo","33","207","0","207","0.00","4.7"
"Oct-Nov","Off","evening","10","62","1","61","0.17","5.4"
"Oct-Nov","Off","morning","30","179","1","178","0.35","5.0"
"Oct-Nov","Off","afternoo","34","188","0","188","0.00","5.5"
"Oct-Nov","Off","evening","11","69","1","68","1.48","5.1"
"Feb-Mar","Off","morning","29","175","0","175","0.00","5.0"
"Feb-Mar","Off","afternoo","29","183","0","183","0.00","4.8"
"Feb-Mar","Off","evening","15","87","4","83","0.47","5.5"
"Feb-Mar","Off","morning","39","239","0","239","0.00","5.0"
"Feb-Mar","Off","afternoo","31","181","0","181","0.00","5.1"
"Feb-Mar","Off","evening","12","65","0","65","0.12","5.8"
"Feb-Mar","Off","morning","26","144","0","144","0.00","5.2"
"Feb-Mar","Off","afternoo","27","171","1","170","0.03","4.9"
"Feb-Mar","Off","evening","10","56","0","56","0.00","5.1"
"Feb-Mar","Off","morning","26","177","0","177","0.02","4.4"
"Feb-Mar","Off","afternoo","18","130","0","130","0.00","4.3"
"Feb-Mar","On","evening","7","37","0","37","0.00","5.0"
"Dec-Jan","On","morning","29","178","2","176","0.95","4.9"
"Dec-Jan","On","afternoo","14","91","0","91","0.00","4.4"
"Dec-Jan","Off","evening","7","36","0","36","0.00","5.0"
"Feb-Mar","Off","morning","29","145","0","145","0.00","5.9"
"Feb-Mar","On","afternoo","27","138","0","138","0.00","5.9"
"Feb-Mar","Off","evening","10","45","0","45","0.00","6.3"
"Feb-Mar","Off","morning","20","121","0","121","0.00","5.1"
"Feb-Mar","Off","afternoo","24","132","0","132","0.00","5.5"
"Feb-Mar","On","evening","16","107","4","103","1.12","4.7"
"Feb-Mar","Off","morning","29","182","0","182","0.00","4.8"
"Feb-Mar","Off","afternoo","39","226","0","226","0.00","5.3"
"Feb-Mar","Off","evening","11","69","0","69","0.00","4.7"
"Dec-Jan","Off","morning","41","245","31","214","3.07","5.7"
"Dec-Jan","Off","afternoo","28","172","9","163","1.97","5.1"
"Dec-Jan","Off","evening","9","41","1","40","0.37","6.1"
"Dec-Jan","Off","morning","29","229","29","200","3.48","4.7"
"Dec-Jan","On","afternoo","29","170","4","166","0.47","5.3"
"Dec-Jan","Off","evening","8","44","0","44","0.05","5.8"
"Dec-Jan","Off","morning","9","102","37","65","10.65","6.8"
"Dec-Jan","Off","afternoo","7","36","0","36","0.28","4.9"
"Dec-Jan","On","morning","56","286","14","272","3.13","6.2"
"Dec-Jan","On","afternoo","39","230","8","222","0.98","5.2"
"Dec-Jan","Off","evening","12","76","14","62","1.08","6.3"
"Dec-Jan","On","morning","38","212","0","212","0.03","5.3"
"Dec-Jan","On","afternoo","23","163","4","159","1.20","4.4"
"Dec-Jan","Off","evening","9","63","4","59","0.80","4.3"
"Dec-Jan","Off","morning","31","187","0","187","0.00","5.0"
"Dec-Jan","On","afternoo","33","176","0","176","0.23","5.5"
"Dec-Jan","On","evening","8","52","1","51","0.50","4.8"
"Dec-Jan","Off","morning","30","167","0","167","0.00","5.5"
"Dec-Jan","On","afternoo","25","139","0","139","0.05","5.6"
"Dec-Jan","Off","evening","8","58","0","58","0.05","4.6"
"Dec-Jan","Off","morning","37","204","1","203","0.15","5.4"
"Dec-Jan","Off","afternoo","27","187","17","170","1.62","4.9"
"Dec-Jan","On","evening","7","43","0","43","0.00","4.8"
"Dec-Jan","Off","morning","4","73","20","53","4.15","3.3"
"Dec-Jan","On","afternoo","6","42","1","41","0.67","4.5"
"Dec-Jan","On","morning","25","219","42","177","7.82","5.9"
"Dec-Jan","Off","afternoo","41","231","15","216","1.50","5.7"
"Dec-Jan","Off","evening","12","69","0","69","0.00","5.0"
"Dec-Jan","Off","morning","32","196","14","182","1.70","5.2"
"Dec-Jan","Off","afternoo","28","158","0","158","0.07","5.4"
"Dec-Jan","On","evening","10","55","0","55","0.00","5.1"
"Dec-Jan","Off","morning","35","196","4","192","0.80","5.5"
"Dec-Jan","Off","afternoo","28","164","0","164","0.17","5.3"
"Dec-Jan","On","evening","9","50","0","50","0.00","5.5"
"Dec-Jan","On","morning","33","225","22","203","2.92","4.9"
"Dec-Jan","Off","afternoo","39","207","2","205","0.72","5.7"
"Dec-Jan","Off","evening","16","70","0","70","0.00","7.0"
"Dec-Jan","Off","morning","37","214","1","213","0.30","5.2"
"Dec-Jan","On","afternoo","30","169","0","169","0.08","5.4"
"Dec-Jan","Off","evening","9","41","0","41","0.00","6.2"
"Dec-Jan","Off","morning","9","62","0","62","0.00","4.4"
"Dec-Jan","Off","afternoo","4","31","0","31","0.05","4.5"
"Dec-Jan","On","morning","47","282","9","273","1.35","5.1"
"Dec-Jan","On","afternoo","35","194","0","194","0.12","5.3"
"Dec-Jan","Off","evening","11","69","0","69","0.00","4.7"
"Dec-Jan","Off","morning","31","198","0","198","0.25","4.7"
"Dec-Jan","On","afternoo","28","159","0","159","0.02","5.3"
"Dec-Jan","Off","evening","8","49","0","49","0.00","5.2"
"Dec-Jan","Off","morning","33","196","0","196","0.00","5.0"
"Dec-Jan","Off","afternoo","26","148","4","144","0.28","5.4"
"Dec-Jan","Off","evening","9","48","0","48","0.00","5.2"
"Dec-Jan","On","morning","29","161","0","161","0.00","5.3"
"Dec-Jan","Off","afternoo","20","133","0","133","0.02","4.8"
"Dec-Jan","On","evening","4","29","0","29","0.00","4.7"
"Dec-Jan","Off","morning","24","160","0","160","0.12","4.6"
"Dec-Jan","Off","afternoo","21","109","8","101","1.43","6.1"
"Dec-Jan","Off","morning","17","119","0","119","0.00","4.3"
"Dec-Jan","Off","afternoo","11","66","0","66","0.00","5.1"
"Dec-Jan","Off","evening","3","24","0","24","0.00","4.7"
"Dec-Jan","On","morning","19","261","39","222","7.95","4.4"
"Dec-Jan","Off","afternoo","34","212","6","206","1.08","4.9"
"Dec-Jan","Off","evening","8","46","0","46","0.00","5.5"
"Dec-Jan","Off","morning","27","228","37","191","3.75","4.7"
"Dec-Jan","On","afternoo","31","183","9","174","1.68","5.2"
"Dec-Jan","Off","evening","10","58","0","58","0.00","5.4"
"Dec-Jan","On","morning","23","237","50","187","8.97","5.8"
"Dec-Jan","Off","afternoo","26","171","6","165","1.05","4.8"
"Dec-Jan","Off","evening","8","39","0","39","0.00","5.8"
"Dec-Jan","Off","morning","13","236","85","151","9.17","4.4"
"Dec-Jan","Off","afternoo","33","191","13","178","1.77","5.5"
"Dec-Jan","Off","evening","7","39","0","39","0.00","6.0"
"Dec-Jan","Off","morning","11","73","4","69","1.00","4.8"
"Dec-Jan","Off","afternoo","6","35","0","35","0.13","5.8"
"Feb-Mar","Off","morning","25","162","3","159","0.08","4.6"
"Feb-Mar","On","afternoo","17","128","0","128","0.00","3.9"
"Feb-Mar","Off","evening","7","40","0","40","0.00","4.6"
"Oct-Nov","On","morning","10","66","0","66","0.13","4.6"
"Oct-Nov","On","afternoo","26","252","42","210","8.97","5.7"
"Oct-Nov","On","evening","11","103","21","82","9.13","6.5"
"Oct-Nov","On","afternoo","13","177","54","123","20.67","5.8"
"Oct-Nov","On","evening","10","88","17","71","7.75","6.2"
"Oct-Nov","On","afternoo","25","155","0","155","0.00","4.9"
"Oct-Nov","Off","evening","58","45","0","45","0.03","38.7"
"Oct-Nov","Off","morning","26","153","0","153","0.27","5.0"
"Oct-Nov","Off","afternoo","27","164","0","164","0.00","4.8"
"Oct-Nov","On","evening","8","43","0","43","0.00","5.6"
"Oct-Nov","On","morning","37","201","3","198","0.92","5.6"
"Oct-Nov","Off","afternoo","24","156","0","156","0.12","4.5"
"Oct-Nov","Off","evening","8","40","1","39","0.13","6.8"
"Oct-Nov","On","morning","22","203","30","173","6.72","5.2"
"Oct-Nov","Off","afternoo","37","202","2","200","0.48","5.6"
"Oct-Nov","On","evening","11","65","0","65","0.00","5.1"
"Feb-Mar","On","morning","31","183","0","183","0.00","5.0"
"Feb-Mar","Off","afternoo","38","202","0","202","0.00","5.6"
"Feb-Mar","Off","evening","11","77","0","77","0.00","4.3"
"Feb-Mar","Off","morning","38","241","0","241","0.05","4.8"
"Feb-Mar","Off","afternoo","24","156","0","156","0.00","4.8"
"Feb-Mar","Off","evening","5","59","0","59","0.00","2.8"
"Feb-Mar","Off","afternoo","43","267","1","266","0.02","4.9"
"Feb-Mar","On","evening","13","99","3","96","0.85","4.0"
"Feb-Mar","Off","morning","35","198","0","198","0.00","5.3"
"Feb-Mar","On","afternoo","34","197","0","197","0.00","5.2"
"Feb-Mar","Off","evening","10","88","1","87","0.98","3.2"
